"skill_id","skills","demand_count","avg_salary"
0,"sql","7291","97237.16"
181,"excel","4611","87288.21"
1,"python","4330","101397.22"
182,"tableau","3745","99287.65"
183,"power bi","2609","97431.30"
5,"r","2142","100498.77"
7,"sas","933","98902.37"
186,"sas","933","98902.37"
185,"looker","868","103795.30"
74,"azure","821","111225.10"
196,"powerpoint","819","88701.09"
8,"go","815","115319.89"
76,"aws","769","108317.30"
188,"word","720","82576.04"
79,"oracle","619","104533.70"
80,"snowflake","608","112947.97"
61,"sql server","600","97785.73"
215,"flow","500","97200.00"
192,"sheets","496","86087.79"
189,"sap","491","102919.88"
233,"jira","396","104917.90"
9,"javascript","389","97587.00"
77,"bigquery","374","109653.85"
92,"spark","361","99076.92"
22,"vba","333","88783.29"
